,SymbolA,SymbolB,pair
3059982,ZNF425,ZNF682,ZNF425__ZNF682
3059983,ZNF425,ZNF701,ZNF425__ZNF701
3059984,ZNF425,ZNF705G,ZNF425__ZNF705G
3059985,ZNF709,ZNF425,ZNF425__ZNF709
3059986,ZNF425,ZNF710,ZNF425__ZNF710
3059987,ZNF713,ZNF425,ZNF425__ZNF713
3059988,ZNF425,ZNF716,ZNF425__ZNF716
3059989,ZNF425,ZNF717,ZNF425__ZNF717
3059990,ZNF718,ZNF425,ZNF425__ZNF718
3059991,ZNF721,ZNF425,ZNF425__ZNF721
3059992,ZNF726,ZNF425,ZNF425__ZNF726
3059993,ZNF425,ZNF727,ZNF425__ZNF727
3059994,ZNF732,ZNF425,ZNF425__ZNF732
3059995,ZNF425,ZNF735,ZNF425__ZNF735
3059996,ZNF736,ZNF425,ZNF425__ZNF736
3059997,ZNF425,ZNF737,ZNF425__ZNF737
3059998,ZNF738,ZNF425,ZNF425__ZNF738
3059999,ZNF749,ZNF425,ZNF425__ZNF749
3060000,ZNF425,ZNF761,ZNF425__ZNF761
3060001,ZNF425,ZNF766,ZNF425__ZNF766
3060002,ZNF772,ZNF425,ZNF425__ZNF772
3060003,ZNF425,ZNF773,ZNF425__ZNF773
3060004,ZNF776,ZNF425,ZNF425__ZNF776
3060005,ZNF425,ZNF781,ZNF425__ZNF781
3060006,ZNF425,ZNF782,ZNF425__ZNF782
3060007,ZNF789,ZNF425,ZNF425__ZNF789
3060008,ZNF790,ZNF425,ZNF425__ZNF790
3060009,ZNF425,ZNF799,ZNF425__ZNF799
3060010,ZNF425,ZNF804A,ZNF425__ZNF804A
3060011,ZNF804B,ZNF425,ZNF425__ZNF804B
3060012,ZNF81,ZNF425,ZNF425__ZNF81
3060013,ZNF814,ZNF425,ZNF425__ZNF814
3060014,ZNF816,ZNF425,ZNF425__ZNF816
3060015,ZNF425,ZNF83,ZNF425__ZNF83
3060016,ZNF425,ZNF831,ZNF425__ZNF831
3060017,ZNF836,ZNF425,ZNF425__ZNF836
3060018,ZNF84,ZNF425,ZNF425__ZNF84
3060019,ZNF425,ZNF841,ZNF425__ZNF841
3060020,ZNF846,ZNF425,ZNF425__ZNF846
3060021,ZNF425,ZNF850,ZNF425__ZNF850
3060022,ZNF425,ZNF852,ZNF425__ZNF852
3060023,ZNF862,ZNF425,ZNF425__ZNF862
3060024,ZNF875,ZNF425,ZNF425__ZNF875
3060025,ZNF425,ZNF878,ZNF425__ZNF878
3060026,ZNF879,ZNF425,ZNF425__ZNF879
3060027,ZNF883,ZNF425,ZNF425__ZNF883
3060028,ZNF425,ZNF891,ZNF425__ZNF891
3060029,ZNF90,ZNF425,ZNF425__ZNF90
3060030,ZNF93,ZNF425,ZNF425__ZNF93
3060031,ZNF425,ZNG1C,ZNF425__ZNG1C
3060032,ZNF425,ZP1,ZNF425__ZP1
3060033,ZNF425,ZP4,ZNF425__ZP4
3060034,ZNF425,ZPBP,ZNF425__ZPBP
3060035,ZNF425,ZSCAN10,ZNF425__ZSCAN10
3060036,ZSCAN2,ZNF425,ZNF425__ZSCAN2
3060037,ZSCAN5B,ZNF425,ZNF425__ZSCAN5B
3060038,ZNF425,ZSWIM1,ZNF425__ZSWIM1
3060039,ZNF425,ZSWIM2,ZNF425__ZSWIM2
3060040,ZNF425,ZSWIM3,ZNF425__ZSWIM3
3060041,ZSWIM4,ZNF425,ZNF425__ZSWIM4
3060042,ZSWIM5,ZNF425,ZNF425__ZSWIM5
3060043,ZSWIM6,ZNF425,ZNF425__ZSWIM6
3060044,ZXDA,ZNF425,ZNF425__ZXDA
3060045,ZNF519,ZNF432,ZNF432__ZNF519
3060046,ZNF530,ZNF432,ZNF432__ZNF530
3060047,ZNF432,ZNF596,ZNF432__ZNF596
3060048,ZNF432,ZNF605,ZNF432__ZNF605
3060049,ZNF432,ZNF676,ZNF432__ZNF676
3060050,ZNF432,ZNF705D,ZNF432__ZNF705D
3060051,ZNF432,ZNF717,ZNF432__ZNF717
3060052,ZNF432,ZNF737,ZNF432__ZNF737
3060053,ZNF781,ZNF432,ZNF432__ZNF781
3060054,ZNF789,ZNF432,ZNF432__ZNF789
3060055,ZNF432,ZNF860,ZNF432__ZNF860
3060056,ZNF432,ZNF878,ZNF432__ZNF878
3060057,ZNF432,ZNF883,ZNF432__ZNF883
3060058,ZNF432,ZNF90,ZNF432__ZNF90
3060059,ZP1,ZNF432,ZNF432__ZP1
3060060,ZNF433,ZNF470,ZNF433__ZNF470
3060061,ZNF433,ZNF519,ZNF433__ZNF519
3060062,ZNF530,ZNF433,ZNF433__ZNF530
3060063,ZNF433,ZNF546,ZNF433__ZNF546
3060064,ZNF433,ZNF551,ZNF433__ZNF551
3060065,ZNF433,ZNF570,ZNF433__ZNF570
3060066,ZNF433,ZNF596,ZNF433__ZNF596
3060067,ZNF433,ZNF605,ZNF433__ZNF605
3060068,ZNF606,ZNF433,ZNF433__ZNF606
3060069,ZNF676,ZNF433,ZNF433__ZNF676
3060070,ZNF433,ZNF736,ZNF433__ZNF736
3060071,ZNF782,ZNF433,ZNF433__ZNF782
3060072,ZNF433,ZNF789,ZNF433__ZNF789
3060073,ZNF841,ZNF433,ZNF433__ZNF841
3060074,ZNF433,ZNF878,ZNF433__ZNF878
3060075,ZNF433,ZNF883,ZNF433__ZNF883
3060076,ZNF433,ZNF90,ZNF433__ZNF90
3060077,ZSWIM4,ZNF433,ZNF433__ZSWIM4
3060078,ZNF442,ZNF43,ZNF43__ZNF442
3060079,ZNF470,ZNF43,ZNF43__ZNF470
3060080,ZNF43,ZNF487,ZNF43__ZNF487
3060081,ZNF43,ZNF493,ZNF43__ZNF493
3060082,ZNF43,ZNF501,ZNF43__ZNF501
3060083,ZNF502,ZNF43,ZNF43__ZNF502
3060084,ZNF519,ZNF43,ZNF43__ZNF519
3060085,ZNF525,ZNF43,ZNF43__ZNF525
3060086,ZNF530,ZNF43,ZNF43__ZNF530
3060087,ZNF534,ZNF43,ZNF43__ZNF534
3060088,ZNF43,ZNF546,ZNF43__ZNF546
3060089,ZNF43,ZNF548,ZNF43__ZNF548
3060090,ZNF551,ZNF43,ZNF43__ZNF551
3060091,ZNF571,ZNF43,ZNF43__ZNF571
3060092,ZNF594,ZNF43,ZNF43__ZNF594
3060093,ZNF43,ZNF596,ZNF43__ZNF596
3060094,ZNF43,ZNF605,ZNF43__ZNF605
3060095,ZNF43,ZNF606,ZNF43__ZNF606
3060096,ZNF619,ZNF43,ZNF43__ZNF619
3060097,ZNF43,ZNF623,ZNF43__ZNF623
3060098,ZNF626,ZNF43,ZNF43__ZNF626
3060099,ZNF43,ZNF660,ZNF43__ZNF660
3060100,ZNF43,ZNF676,ZNF43__ZNF676
3060101,ZNF43,ZNF705D,ZNF43__ZNF705D
3060102,ZNF43,ZNF705G,ZNF43__ZNF705G
3060103,ZNF716,ZNF43,ZNF43__ZNF716
3060104,ZNF717,ZNF43,ZNF43__ZNF717
3060105,ZNF43,ZNF727,ZNF43__ZNF727
3060106,ZNF735,ZNF43,ZNF43__ZNF735
3060107,ZNF43,ZNF736,ZNF43__ZNF736
3060108,ZNF737,ZNF43,ZNF43__ZNF737
3060109,ZNF749,ZNF43,ZNF43__ZNF749
3060110,ZNF43,ZNF763,ZNF43__ZNF763
3060111,ZNF43,ZNF782,ZNF43__ZNF782
3060112,ZNF43,ZNF789,ZNF43__ZNF789
3060113,ZNF790,ZNF43,ZNF43__ZNF790
3060114,ZNF804B,ZNF43,ZNF43__ZNF804B
3060115,ZNF43,ZNF836,ZNF43__ZNF836
3060116,ZNF43,ZNF841,ZNF43__ZNF841
3060117,ZNF846,ZNF43,ZNF43__ZNF846
3060118,ZNF860,ZNF43,ZNF43__ZNF860
3060119,ZNF43,ZNF862,ZNF43__ZNF862
3060120,ZNF43,ZNF878,ZNF43__ZNF878
3060121,ZNF883,ZNF43,ZNF43__ZNF883
3060122,ZNF43,ZNF90,ZNF43__ZNF90
3060123,ZNF99,ZNF43,ZNF43__ZNF99
3060124,ZNG1C,ZNF43,ZNF43__ZNG1C
3060125,ZP1,ZNF43,ZNF43__ZP1
3060126,ZPBP,ZNF43,ZNF43__ZPBP
3060127,ZSCAN5B,ZNF43,ZNF43__ZSCAN5B
3060128,ZSWIM2,ZNF43,ZNF43__ZSWIM2
3060129,ZNF43,ZSWIM4,ZNF43__ZSWIM4
3060130,ZNF43,ZSWIM5,ZNF43__ZSWIM5
3060131,ZSWIM6,ZNF43,ZNF43__ZSWIM6
3060132,ZNF441,ZNF470,ZNF441__ZNF470
3060133,ZNF441,ZNF487,ZNF441__ZNF487
3060134,ZNF441,ZNF519,ZNF441__ZNF519
3060135,ZNF530,ZNF441,ZNF441__ZNF530
3060136,ZNF441,ZNF570,ZNF441__ZNF570
3060137,ZNF596,ZNF441,ZNF441__ZNF596
3060138,ZNF441,ZNF605,ZNF441__ZNF605
3060139,ZNF441,ZNF606,ZNF441__ZNF606
3060140,ZNF441,ZNF619,ZNF441__ZNF619
3060141,ZNF676,ZNF441,ZNF441__ZNF676
3060142,ZNF441,ZNF705G,ZNF441__ZNF705G
3060143,ZNF441,ZNF727,ZNF441__ZNF727
3060144,ZNF441,ZNF735,ZNF441__ZNF735
3060145,ZNF441,ZNF736,ZNF441__ZNF736
3060146,ZNF782,ZNF441,ZNF441__ZNF782
3060147,ZNF441,ZNF799,ZNF441__ZNF799
3060148,ZNF441,ZNF814,ZNF441__ZNF814
3060149,ZNF441,ZNF841,ZNF441__ZNF841
3060150,ZNF441,ZNF878,ZNF441__ZNF878
3060151,ZNF441,ZNF883,ZNF441__ZNF883
3060152,ZNF441,ZNF90,ZNF441__ZNF90
3060153,ZNF441,ZSWIM4,ZNF441__ZSWIM4
3060154,ZNF442,ZNF486,ZNF442__ZNF486
3060155,ZNF519,ZNF442,ZNF442__ZNF519
3060156,ZNF530,ZNF442,ZNF442__ZNF530
3060157,ZNF442,ZNF534,ZNF442__ZNF534
3060158,ZNF541,ZNF442,ZNF442__ZNF541
3060159,ZNF442,ZNF548,ZNF442__ZNF548
3060160,ZNF571,ZNF442,ZNF442__ZNF571
3060161,ZNF442,ZNF577,ZNF442__ZNF577
3060162,ZNF442,ZNF596,ZNF442__ZNF596
3060163,ZNF442,ZNF605,ZNF442__ZNF605
3060164,ZNF442,ZNF606,ZNF442__ZNF606
3060165,ZNF619,ZNF442,ZNF442__ZNF619
3060166,ZNF442,ZNF623,ZNF442__ZNF623
3060167,ZNF442,ZNF626,ZNF442__ZNF626
3060168,ZNF654,ZNF442,ZNF442__ZNF654
3060169,ZNF671,ZNF442,ZNF442__ZNF671
3060170,ZNF442,ZNF676,ZNF442__ZNF676
3060171,ZNF705D,ZNF442,ZNF442__ZNF705D
3060172,ZNF763,ZNF442,ZNF442__ZNF763
3060173,ZNF789,ZNF442,ZNF442__ZNF789
3060174,ZNF442,ZNF836,ZNF442__ZNF836
3060175,ZNF841,ZNF442,ZNF442__ZNF841
3060176,ZNF442,ZNF878,ZNF442__ZNF878
3060177,ZNF883,ZNF442,ZNF442__ZNF883
3060178,ZNF891,ZNF442,ZNF442__ZNF891
3060179,ZNF442,ZNF99,ZNF442__ZNF99
3060180,ZNF442,ZNG1C,ZNF442__ZNG1C
3060181,ZP1,ZNF442,ZNF442__ZP1
3060182,ZPBP,ZNF442,ZNF442__ZPBP
3060183,ZNF442,ZSCAN10,ZNF442__ZSCAN10
3060184,ZSWIM4,ZNF442,ZNF442__ZSWIM4
3060185,ZNF442,ZSWIM5,ZNF442__ZSWIM5
3060186,ZNF442,ZSWIM6,ZNF442__ZSWIM6
3060187,ZNF486,ZNF443,ZNF443__ZNF486
3060188,ZNF493,ZNF443,ZNF443__ZNF493
3060189,ZNF443,ZNF519,ZNF443__ZNF519
3060190,ZNF534,ZNF443,ZNF443__ZNF534
3060191,ZNF443,ZNF541,ZNF443__ZNF541
3060192,ZNF571,ZNF443,ZNF443__ZNF571
3060193,ZNF443,ZNF596,ZNF443__ZNF596
3060194,ZNF600,ZNF443,ZNF443__ZNF600
3060195,ZNF605,ZNF443,ZNF443__ZNF605
3060196,ZNF443,ZNF619,ZNF443__ZNF619
3060197,ZNF443,ZNF676,ZNF443__ZNF676
3060198,ZNF705D,ZNF443,ZNF443__ZNF705D
3060199,ZNF717,ZNF443,ZNF443__ZNF717
3060200,ZNF443,ZNF721,ZNF443__ZNF721
3060201,ZNF727,ZNF443,ZNF443__ZNF727
3060202,ZNF732,ZNF443,ZNF443__ZNF732
3060203,ZNF737,ZNF443,ZNF443__ZNF737
3060204,ZNF443,ZNF789,ZNF443__ZNF789
3060205,ZNF790,ZNF443,ZNF443__ZNF790
3060206,ZNF799,ZNF443,ZNF443__ZNF799
3060207,ZNF841,ZNF443,ZNF443__ZNF841
3060208,ZNF443,ZNF846,ZNF443__ZNF846
3060209,ZNF443,ZNF860,ZNF443__ZNF860
3060210,ZNF443,ZNF862,ZNF443__ZNF862
3060211,ZNF443,ZNF878,ZNF443__ZNF878
3060212,ZNF443,ZNF883,ZNF443__ZNF883
3060213,ZNF443,ZNF90,ZNF443__ZNF90
3060214,ZNF443,ZNF99,ZNF443__ZNF99
3060215,ZP1,ZNF443,ZNF443__ZP1
3060216,ZPBP,ZNF443,ZNF443__ZPBP
3060217,ZNF443,ZSWIM4,ZNF443__ZSWIM4
3060218,ZNF449,ZNF470,ZNF449__ZNF470
3060219,ZNF449,ZNF487,ZNF449__ZNF487
3060220,ZNF449,ZNF519,ZNF449__ZNF519
3060221,ZNF449,ZNF570,ZNF449__ZNF570
3060222,ZNF449,ZNF596,ZNF449__ZNF596
3060223,ZNF449,ZNF606,ZNF449__ZNF606
3060224,ZNF654,ZNF449,ZNF449__ZNF654
3060225,ZNF449,ZNF705G,ZNF449__ZNF705G
3060226,ZNF449,ZNF735,ZNF449__ZNF735
3060227,ZNF841,ZNF449,ZNF449__ZNF841
3060228,ZNF449,ZNF878,ZNF449__ZNF878
3060229,ZNF449,ZNF883,ZNF449__ZNF883
3060230,ZNF449,ZNF90,ZNF449__ZNF90
3060231,ZSWIM4,ZNF449,ZNF449__ZSWIM4
3060232,ZNF519,ZNF45,ZNF45__ZNF519
3060233,ZNF530,ZNF45,ZNF45__ZNF530
3060234,ZNF45,ZNF596,ZNF45__ZNF596
3060235,ZNF45,ZNF676,ZNF45__ZNF676
3060236,ZNF45,ZNF705D,ZNF45__ZNF705D
3060237,ZNF717,ZNF45,ZNF45__ZNF717
3060238,ZNF737,ZNF45,ZNF45__ZNF737
3060239,ZNF781,ZNF45,ZNF45__ZNF781
3060240,ZNF789,ZNF45,ZNF45__ZNF789
3060241,ZNF45,ZNF878,ZNF45__ZNF878
3060242,ZNF45,ZNF883,ZNF45__ZNF883
3060243,ZNF45,ZNF90,ZNF45__ZNF90
3060244,ZNF45,ZNF99,ZNF45__ZNF99
3060245,ZP1,ZNF45,ZNF45__ZP1
3060246,ZNF461,ZNF470,ZNF461__ZNF470
3060247,ZNF487,ZNF461,ZNF461__ZNF487
3060248,ZNF502,ZNF461,ZNF461__ZNF502
3060249,ZNF461,ZNF519,ZNF461__ZNF519
3060250,ZNF461,ZNF528,ZNF461__ZNF528
3060251,ZNF529,ZNF461,ZNF461__ZNF529
3060252,ZNF461,ZNF530,ZNF461__ZNF530
3060253,ZNF461,ZNF534,ZNF461__ZNF534
3060254,ZNF546,ZNF461,ZNF461__ZNF546
3060255,ZNF461,ZNF551,ZNF461__ZNF551
3060256,ZNF461,ZNF583,ZNF461__ZNF583
3060257,ZNF461,ZNF605,ZNF461__ZNF605
3060258,ZNF461,ZNF619,ZNF461__ZNF619
3060259,ZNF461,ZNF626,ZNF461__ZNF626
3060260,ZNF461,ZNF671,ZNF461__ZNF671
3060261,ZNF461,ZNF676,ZNF461__ZNF676
3060262,ZNF461,ZNF727,ZNF461__ZNF727
3060263,ZNF461,ZNF763,ZNF461__ZNF763
3060264,ZNF793,ZNF461,ZNF461__ZNF793
3060265,ZNF461,ZNF878,ZNF461__ZNF878
3060266,ZNF879,ZNF461,ZNF461__ZNF879
3060267,ZNF461,ZNF883,ZNF461__ZNF883
3060268,ZNF461,ZNG1C,ZNF461__ZNG1C
3060269,ZNF461,ZP1,ZNF461__ZP1
3060270,ZNF461,ZPBP,ZNF461__ZPBP
3060271,ZNF468,ZNF519,ZNF468__ZNF519
3060272,ZNF468,ZNF530,ZNF468__ZNF530
3060273,ZNF468,ZNF534,ZNF468__ZNF534
3060274,ZNF468,ZNF571,ZNF468__ZNF571
3060275,ZNF605,ZNF468,ZNF468__ZNF605
3060276,ZNF671,ZNF468,ZNF468__ZNF671
3060277,ZNF468,ZNF676,ZNF468__ZNF676
3060278,ZNF705D,ZNF468,ZNF468__ZNF705D
3060279,ZNF717,ZNF468,ZNF468__ZNF717
3060280,ZNF727,ZNF468,ZNF468__ZNF727
3060281,ZNF790,ZNF468,ZNF468__ZNF790
3060282,ZNF841,ZNF468,ZNF468__ZNF841
3060283,ZNF468,ZNF846,ZNF468__ZNF846
3060284,ZNF468,ZNF860,ZNF468__ZNF860
3060285,ZNF468,ZNF883,ZNF468__ZNF883
3060286,ZNF468,ZNF90,ZNF468__ZNF90
3060287,ZNF468,ZNF99,ZNF468__ZNF99
3060288,ZP1,ZNF468,ZNF468__ZP1
3060289,ZPBP,ZNF468,ZNF468__ZPBP
3060290,ZNF468,ZSWIM4,ZNF468__ZSWIM4
3060291,ZNF470,ZNF469,ZNF469__ZNF470
3060292,ZNF486,ZNF469,ZNF469__ZNF486
3060293,ZNF469,ZNF487,ZNF469__ZNF487
3060294,ZNF519,ZNF469,ZNF469__ZNF519
3060295,ZNF469,ZNF530,ZNF469__ZNF530
3060296,ZNF469,ZNF546,ZNF469__ZNF546
3060297,ZNF551,ZNF469,ZNF469__ZNF551
3060298,ZNF469,ZNF596,ZNF469__ZNF596
3060299,ZNF469,ZNF654,ZNF469__ZNF654
3060300,ZNF469,ZNF671,ZNF469__ZNF671
3060301,ZNF469,ZNF705D,ZNF469__ZNF705D
3060302,ZNF727,ZNF469,ZNF469__ZNF727
3060303,ZNF736,ZNF469,ZNF469__ZNF736
3060304,ZNF737,ZNF469,ZNF469__ZNF737
3060305,ZNF781,ZNF469,ZNF469__ZNF781
3060306,ZNF789,ZNF469,ZNF469__ZNF789
3060307,ZNF469,ZNF860,ZNF469__ZNF860
3060308,ZNF878,ZNF469,ZNF469__ZNF878
3060309,ZNF469,ZNF883,ZNF469__ZNF883
3060310,ZNF469,ZNF99,ZNF469__ZNF99
3060311,ZP1,ZNF469,ZNF469__ZP1
3060312,ZNF469,ZPBP,ZNF469__ZPBP
3060313,ZSWIM4,ZNF469,ZNF469__ZSWIM4
3060314,ZNF486,ZNF470,ZNF470__ZNF486
3060315,ZNF487,ZNF470,ZNF470__ZNF487
3060316,ZNF500,ZNF470,ZNF470__ZNF500
3060317,ZNF470,ZNF501,ZNF470__ZNF501
3060318,ZNF513,ZNF470,ZNF470__ZNF513
3060319,ZNF470,ZNF518B,ZNF470__ZNF518B
3060320,ZNF519,ZNF470,ZNF470__ZNF519
3060321,ZNF528,ZNF470,ZNF470__ZNF528
3060322,ZNF529,ZNF470,ZNF470__ZNF529
3060323,ZNF470,ZNF530,ZNF470__ZNF530
3060324,ZNF470,ZNF534,ZNF470__ZNF534
3060325,ZNF470,ZNF541,ZNF470__ZNF541
3060326,ZNF546,ZNF470,ZNF470__ZNF546
3060327,ZNF470,ZNF548,ZNF470__ZNF548
3060328,ZNF549,ZNF470,ZNF470__ZNF549
3060329,ZNF470,ZNF556,ZNF470__ZNF556
3060330,ZNF559,ZNF470,ZNF470__ZNF559
3060331,ZNF470,ZNF563,ZNF470__ZNF563
3060332,ZNF470,ZNF565,ZNF470__ZNF565
3060333,ZNF470,ZNF568,ZNF470__ZNF568
3060334,ZNF470,ZNF569,ZNF470__ZNF569
3060335,ZNF570,ZNF470,ZNF470__ZNF570
3060336,ZNF571,ZNF470,ZNF470__ZNF571
3060337,ZNF583,ZNF470,ZNF470__ZNF583
3060338,ZNF470,ZNF585A,ZNF470__ZNF585A
3060339,ZNF470,ZNF586,ZNF470__ZNF586
3060340,ZNF470,ZNF594,ZNF470__ZNF594
3060341,ZNF596,ZNF470,ZNF470__ZNF596
3060342,ZNF470,ZNF599,ZNF470__ZNF599
3060343,ZNF605,ZNF470,ZNF470__ZNF605
3060344,ZNF470,ZNF606,ZNF470__ZNF606
3060345,ZNF470,ZNF610,ZNF470__ZNF610
3060346,ZNF470,ZNF613,ZNF470__ZNF613
3060347,ZNF470,ZNF614,ZNF470__ZNF614
3060348,ZNF470,ZNF615,ZNF470__ZNF615
3060349,ZNF619,ZNF470,ZNF470__ZNF619
3060350,ZNF470,ZNF623,ZNF470__ZNF623
3060351,ZNF626,ZNF470,ZNF470__ZNF626
3060352,ZNF628,ZNF470,ZNF470__ZNF628
3060353,ZNF654,ZNF470,ZNF470__ZNF654
3060354,ZNF470,ZNF660,ZNF470__ZNF660
3060355,ZNF662,ZNF470,ZNF470__ZNF662
3060356,ZNF665,ZNF470,ZNF470__ZNF665
3060357,ZNF470,ZNF667,ZNF470__ZNF667
3060358,ZNF470,ZNF671,ZNF470__ZNF671
3060359,ZNF672,ZNF470,ZNF470__ZNF672
3060360,ZNF470,ZNF676,ZNF470__ZNF676
3060361,ZNF470,ZNF678,ZNF470__ZNF678
3060362,ZNF470,ZNF679,ZNF470__ZNF679
3060363,ZNF470,ZNF683,ZNF470__ZNF683
3060364,ZNF705D,ZNF470,ZNF470__ZNF705D
3060365,ZNF470,ZNF705G,ZNF470__ZNF705G
3060366,ZNF470,ZNF706,ZNF470__ZNF706
3060367,ZNF709,ZNF470,ZNF470__ZNF709
3060368,ZNF470,ZNF716,ZNF470__ZNF716
3060369,ZNF470,ZNF717,ZNF470__ZNF717
3060370,ZNF727,ZNF470,ZNF470__ZNF727
3060371,ZNF470,ZNF735,ZNF470__ZNF735
3060372,ZNF736,ZNF470,ZNF470__ZNF736
3060373,ZNF470,ZNF737,ZNF470__ZNF737
3060374,ZNF749,ZNF470,ZNF470__ZNF749
3060375,ZNF763,ZNF470,ZNF470__ZNF763
3060376,ZNF470,ZNF772,ZNF470__ZNF772
3060377,ZNF781,ZNF470,ZNF470__ZNF781
3060378,ZNF470,ZNF782,ZNF470__ZNF782
3060379,ZNF470,ZNF783,ZNF470__ZNF783
3060380,ZNF789,ZNF470,ZNF470__ZNF789
3060381,ZNF79,ZNF470,ZNF470__ZNF79
3060382,ZNF790,ZNF470,ZNF470__ZNF790
3060383,ZNF470,ZNF793,ZNF470__ZNF793
3060384,ZNF80,ZNF470,ZNF470__ZNF80
3060385,ZNF470,ZNF804B,ZNF470__ZNF804B
3060386,ZNF814,ZNF470,ZNF470__ZNF814
3060387,ZNF821,ZNF470,ZNF470__ZNF821
3060388,ZNF831,ZNF470,ZNF470__ZNF831
3060389,ZNF836,ZNF470,ZNF470__ZNF836
3060390,ZNF841,ZNF470,ZNF470__ZNF841
3060391,ZNF470,ZNF844,ZNF470__ZNF844
3060392,ZNF846,ZNF470,ZNF470__ZNF846
3060393,ZNF470,ZNF860,ZNF470__ZNF860
3060394,ZNF862,ZNF470,ZNF470__ZNF862
3060395,ZNF875,ZNF470,ZNF470__ZNF875
3060396,ZNF470,ZNF878,ZNF470__ZNF878
3060397,ZNF879,ZNF470,ZNF470__ZNF879
3060398,ZNF883,ZNF470,ZNF470__ZNF883
3060399,ZNF90,ZNF470,ZNF470__ZNF90
3060400,ZNF470,ZNF99,ZNF470__ZNF99
3060401,ZNF470,ZNG1C,ZNF470__ZNG1C
3060402,ZP1,ZNF470,ZNF470__ZP1
3060403,ZNF470,ZP4,ZNF470__ZP4
3060404,ZNF470,ZPBP,ZNF470__ZPBP
3060405,ZNF470,ZSCAN10,ZNF470__ZSCAN10
3060406,ZSCAN16,ZNF470,ZNF470__ZSCAN16
3060407,ZNF470,ZSCAN30,ZNF470__ZSCAN30
3060408,ZNF470,ZSCAN4,ZNF470__ZSCAN4
3060409,ZNF470,ZSCAN5B,ZNF470__ZSCAN5B
3060410,ZNF470,ZSWIM1,ZNF470__ZSWIM1
3060411,ZNF470,ZSWIM2,ZNF470__ZSWIM2
3060412,ZNF519,ZNF471,ZNF471__ZNF519
3060413,ZNF530,ZNF471,ZNF471__ZNF530
3060414,ZNF596,ZNF471,ZNF471__ZNF596
3060415,ZNF619,ZNF471,ZNF471__ZNF619
3060416,ZNF676,ZNF471,ZNF471__ZNF676
3060417,ZNF705D,ZNF471,ZNF471__ZNF705D
3060418,ZNF727,ZNF471,ZNF471__ZNF727
3060419,ZNF799,ZNF471,ZNF471__ZNF799
3060420,ZNF841,ZNF471,ZNF471__ZNF841
3060421,ZNF471,ZNF878,ZNF471__ZNF878
3060422,ZNF883,ZNF471,ZNF471__ZNF883
3060423,ZNF471,ZNF90,ZNF471__ZNF90
3060424,ZSWIM4,ZNF471,ZNF471__ZSWIM4
3060425,ZNF479,ZNF486,ZNF479__ZNF486
3060426,ZNF479,ZNF519,ZNF479__ZNF519
3060427,ZNF530,ZNF479,ZNF479__ZNF530
3060428,ZNF479,ZNF596,ZNF479__ZNF596
3060429,ZNF479,ZNF605,ZNF479__ZNF605
3060430,ZNF479,ZNF619,ZNF479__ZNF619
3060431,ZNF676,ZNF479,ZNF479__ZNF676
3060432,ZNF727,ZNF479,ZNF479__ZNF727
3060433,ZNF789,ZNF479,ZNF479__ZNF789
3060434,ZNF479,ZNF841,ZNF479__ZNF841
3060435,ZNF479,ZNF878,ZNF479__ZNF878
3060436,ZNF479,ZNF883,ZNF479__ZNF883
3060437,ZNF479,ZNF90,ZNF479__ZNF90
3060438,ZSWIM4,ZNF479,ZNF479__ZSWIM4
3060439,ZNF519,ZNF480,ZNF480__ZNF519
3060440,ZNF596,ZNF480,ZNF480__ZNF596
3060441,ZNF480,ZNF605,ZNF480__ZNF605
3060442,ZNF676,ZNF480,ZNF480__ZNF676
3060443,ZNF705D,ZNF480,ZNF480__ZNF705D
3060444,ZNF789,ZNF480,ZNF480__ZNF789
3060445,ZNF883,ZNF480,ZNF480__ZNF883
3060446,ZNF90,ZNF480,ZNF480__ZNF90
3060447,ZNF484,ZNF519,ZNF484__ZNF519
3060448,ZNF484,ZNF530,ZNF484__ZNF530
3060449,ZNF676,ZNF484,ZNF484__ZNF676
3060450,ZNF705D,ZNF484,ZNF484__ZNF705D
3060451,ZNF484,ZNF789,ZNF484__ZNF789
3060452,ZNF484,ZNF841,ZNF484__ZNF841
3060453,ZNF878,ZNF484,ZNF484__ZNF878
3060454,ZNF484,ZNF883,ZNF484__ZNF883
3060455,ZNF484,ZNF90,ZNF484__ZNF90
3060456,ZNF487,ZNF486,ZNF486__ZNF487
3060457,ZNF519,ZNF486,ZNF486__ZNF519
3060458,ZNF541,ZNF486,ZNF486__ZNF541
3060459,ZNF546,ZNF486,ZNF486__ZNF546
3060460,ZNF486,ZNF548,ZNF486__ZNF548
3060461,ZNF559,ZNF486,ZNF486__ZNF559
3060462,ZNF486,ZNF568,ZNF486__ZNF568
3060463,ZNF570,ZNF486,ZNF486__ZNF570
3060464,ZNF486,ZNF571,ZNF486__ZNF571
3060465,ZNF486,ZNF594,ZNF486__ZNF594
3060466,ZNF596,ZNF486,ZNF486__ZNF596
3060467,ZNF486,ZNF600,ZNF486__ZNF600
3060468,ZNF606,ZNF486,ZNF486__ZNF606
3060469,ZNF607,ZNF486,ZNF486__ZNF607
3060470,ZNF619,ZNF486,ZNF486__ZNF619
3060471,ZNF654,ZNF486,ZNF486__ZNF654
3060472,ZNF660,ZNF486,ZNF486__ZNF660
3060473,ZNF676,ZNF486,ZNF486__ZNF676
3060474,ZNF486,ZNF679,ZNF486__ZNF679
